,Never,Rarely,Sometimes,Frequently,Always,Always-Freq,Never-Rare-Some,Rural Code,Urban Code,Per Less than HS,Per Only HS,Per Some College,Per Bachelors or Higher,Population,Unemployment Rate,Per of Median HH Income,Per in Poverty,Per of Cases,Per of Deaths
641,0.03,0.012,0.066,0.176,0.716,0.892,0.108,1,1,0.072,0.262,0.33,0.337,307774,0.033,1.2913801574707,0.054,0.009532968996731,0.00037040165836
1745,0.018,0.057,0.074,0.212,0.639,0.851,0.149,1,1,0.052,0.251,0.29,0.407,309769,0.027,1.16348274230957,0.051,0.005258757332076,0.000306680139071
2062,0.089,0.097,0.099,0.207,0.508,0.715,0.285,1,1,0.103,0.315,0.341,0.24,309833,0.043,1.00846618652344,0.139,0.005151162077635,0.000245293432268
2642,0.031,0.072,0.056,0.232,0.61,0.842,0.159,2,2,0.142,0.263,0.305,0.291,310569,0.028,0.85461555480957,0.179,0.017883304515261,0.000251151917931
2255,0.016,0.024,0.045,0.136,0.779,0.915,0.085,2,2,0.107,0.389,0.273,0.232,317417,0.057,0.842155838012695,0.152,0.010320808274289,0.000576528667337
329,0.019,0.052,0.095,0.31,0.524,0.834,0.166,2,2,0.092,0.273,0.371,0.264,318316,0.032,0.89229362487793,0.155,0.024843237537541,0.000304728634439
1686,0.093,0.061,0.112,0.264,0.47,0.734,0.266,2,2,0.065,0.219,0.328,0.388,319090,0.028,0.969868850708008,0.107,0.009633645679902,4.70086809364129E-05
2329,0.06,0.091,0.126,0.227,0.496,0.723,0.277,2,2,0.147,0.294,0.32,0.238,319785,0.026,0.986302337646484,0.129,0.011570273777694,0.000256422283722
1894,0.017,0.014,0.033,0.104,0.832,0.936,0.064,2,2,0.116,0.173,0.236,0.475,321488,0.034,1.14206802368164,0.14,0.018181082964216,0.00024262180859
1015,0.031,0.051,0.066,0.202,0.65,0.852,0.148,2,2,0.091,0.2,0.279,0.429,323152,0.033,1.12869338989258,0.154,0.010072659305838,0.000142347873447
300,0.046,0.038,0.135,0.231,0.55,0.781,0.219,2,2,0.119,0.275,0.338,0.267,324492,0.025,1.01369575500488,0.084,0.010863133759846,0.000434525350394
1194,0.024,0.015,0.067,0.17,0.723,0.893,0.106,1,1,0.045,0.14,0.202,0.614,325690,0.027,1.40031616210938,0.05,0.010979766035187,0.000325462863459
1844,0.011,0.018,0.054,0.195,0.722,0.917,0.083,1,1,0.121,0.225,0.248,0.406,325789,0.036,1.38581024169922,0.125,0.04260426226791,0.001442651532127
