,Never,Rarely,Sometimes,Frequently,Always,Rural Code,Urban Code,Per Less than HS,Per Only HS,Per Some College,Per Bachelors or Higher,Population,Unemployment Rate,Per of Median HH Income,Per in Poverty,Per of Cases,Per of Deaths
2888,0.087,0.043,0.209,0.127,0.534,4.0,5.0,0.18,0.298,0.33899999999999997,0.184,40044,0.05,0.471721305847168,0.235,0.00784137448806313,0.00017480771151733094
2889,0.015,0.001,0.148,0.148,0.687,6.0,4.0,0.22399999999999998,0.359,0.28300000000000003,0.134,5346,0.05,0.5051718902587891,0.205,0.030864197530864196,0.0028058361391694723
2890,0.025,0.015,0.075,0.173,0.712,1.0,1.0,0.07,0.132,0.21100000000000002,0.5870000000000001,24019,0.021,1.3917694091796875,0.071,0.0033306965319122362,0.00029143594654232064
2891,0.007,0.033,0.038,0.158,0.765,1.0,1.0,0.012,0.055,0.14800000000000002,0.785,14617,0.02,1.8026310729980468,0.035,0.004036395977286721,0.00041048094684271736
2892,0.01,0.027,0.115,0.192,0.656,6.0,4.0,0.172,0.306,0.311,0.21100000000000002,7967,0.04,0.5941206359863281,0.192,0.015062131291577758,0.0007531065645788879
2893,0.038,0.007,0.034,0.136,0.784,1.0,1.0,0.10300000000000001,0.23199999999999998,0.244,0.42100000000000004,29036,0.034,0.8123471832275391,0.16899999999999998,0.012260641961702713,6.888001102080176e-05
2894,0.071,0.086,0.049,0.243,0.551,7.0,9.0,0.28600000000000003,0.33299999999999996,0.258,0.124,6347,0.033,0.48683815002441405,0.19,0.05215062234126359,0.003308649755790137
2895,0.008,0.025,0.078,0.118,0.771,1.0,1.0,0.08800000000000001,0.282,0.36200000000000004,0.268,134510,0.038,0.7298976135253906,0.138,0.007501301018511635,3.717195747528065e-05
2896,0.029,0.066,0.129,0.205,0.571,3.0,2.0,0.159,0.264,0.217,0.36,53016,0.032,0.6301604461669922,0.249,0.01971103063226196,0.0005470046778331069
2897,0.038,0.038,0.149,0.187,0.588,1.0,1.0,0.185,0.364,0.317,0.135,22529,0.043,0.5007519149780273,0.193,0.011229970260553064,0.0002219361711571752
2898,0.01,0.146,0.059,0.121,0.663,6.0,6.0,0.1,0.261,0.243,0.395,7446,0.047,0.7088177490234375,0.22899999999999998,0.00389470856835885,0.0
2899,0.07,0.031,0.073,0.222,0.603,2.0,2.0,0.111,0.254,0.28800000000000003,0.348,82168,0.037000000000000005,0.661845703125,0.168,0.00535488267938857,2.434037581540259e-05
2900,0.033,0.023,0.027,0.175,0.742,1.0,1.0,0.171,0.265,0.266,0.297,41085,0.025,1.1037517547607423,0.07400000000000001,0.039114031885116224,0.0004867956675185591
2901,0.071,0.025,0.017,0.167,0.72,1.0,1.0,0.198,0.237,0.272,0.292,17478,0.025,1.087274932861328,0.063,0.028492962581531067,0.0004005034901018423
2902,0.063,0.076,0.134,0.163,0.564,4.0,5.0,0.172,0.312,0.302,0.213,12554,0.040999999999999995,0.49448810577392577,0.195,0.013382188943762944,0.00023896765971005257
2903,0.01,0.038,0.035,0.145,0.772,1.0,1.0,0.099,0.28600000000000003,0.36,0.255,179225,0.035,0.6933609008789062,0.151,0.008865950620728135,8.92732598688799e-05
2904,0.004,0.03,0.087,0.215,0.664,1.0,1.0,0.12300000000000001,0.256,0.341,0.28,242742,0.035,0.6857109069824219,0.19,0.01312092674526864,0.00010710960608382563
2905,0.017,0.056,0.085,0.155,0.687,7.0,8.0,0.192,0.244,0.39399999999999996,0.16899999999999998,3981,0.037000000000000005,0.4977311706542969,0.193,0.003265511178095956,0.0
2906,0.034,0.033,0.116,0.177,0.64,1.0,1.0,0.19,0.34299999999999997,0.28600000000000003,0.18,31346,0.055999999999999994,0.5262125396728515,0.21600000000000003,0.014483506667517387,0.0004147259618452115
2907,0.004,0.014,0.073,0.219,0.69,1.0,1.0,0.04,0.26,0.272,0.428,12271,0.024,1.2843692016601562,0.053,0.0029337462309510227,0.0
2908,0.0,0.019,0.122,0.225,0.634,1.0,1.0,0.125,0.298,0.365,0.213,94398,0.039,0.6592172241210937,0.185,0.01580541960634759,0.00025424267463293714
2909,0.075,0.045,0.11,0.177,0.593,3.0,2.0,0.1,0.235,0.27399999999999997,0.391,18249,0.036000000000000004,0.5430817031860351,0.305,0.0014247356019507918,0.0
2910,0.06,0.031,0.092,0.275,0.541,1.0,1.0,0.15,0.223,0.242,0.385,230436,0.033,0.6662525939941406,0.192,0.012741064764186152,0.0001692443888975681
2911,0.07,0.05,0.088,0.212,0.58,2.0,2.0,0.145,0.327,0.29,0.23800000000000002,99143,0.03,0.5954413986206055,0.195,0.00868442552676437,0.00011095084877399312
2912,0.064,0.039,0.068,0.199,0.63,2.0,2.0,0.10400000000000001,0.287,0.319,0.29100000000000004,25301,0.027999999999999997,0.7177622985839843,0.094,0.005177660962017312,0.00011857238844314454
2913,0.027,0.039,0.057,0.158,0.718,3.0,2.0,0.107,0.29600000000000004,0.257,0.34,24932,0.027000000000000003,0.7100208282470704,0.113,0.00565538264078293,0.0
2914,0.007,0.048,0.171,0.208,0.565,1.0,1.0,0.11199999999999999,0.281,0.326,0.281,92108,0.03,1.0179937744140626,0.098,0.011497372649498416,0.0005319841924697094
